source,target,weight
barrica,intensidad,897
dulce,negro,896
persistente,color,896
acidez,ahumado,895
pulido,boca,895
crianza,regaliz,894
nariz,cacao,894
cuerpo,tostado,893
aroma,fresco,893
salud,rojo,893
boca,baja,893
roble,densa,893
ciruela,color,892
especia,regaliz,892
alta,uva,891
dulce,crianza,891
alta,garnacha,890
sedoso,ribete,889
nota,persistencia,889
largo,paladar,888
paladar,crianza,888
mineral,ribete,887
capa,agradable,887
granate,alta,886
rojo,equilibrado,885
lágrima,persistencia,884
marcada,color,884
salud,fruta,883
mora,boca,882
francés,ribete,881
suave,alta,881
fina,balsámico,880
lágrima,cacao,879
salud,tanino,878
pulido,especia,878
especiado,color,877
persistente,nariz,874
acidez,goloso,873
color,pimienta,873
crianza,densa,873
tempranillo,persistencia,872
limpio,toque,872
café,negro,871
sedoso,crianza,871
elegante,barrica,870
nota,regaliz,870
picota,dulce,870
coupage,roble,870
mineral,aroma,869
densa,madura,869
sedoso,nota,868
complejo,fruta,866
cereza,densa,866
aterciopelada,boca,866
aroma,cuero,865
boca,fondo,864
final,persistencia,863
tanino,equilibrado,863
francés,balsámico,861
fina,uva,861
acidez,baja,860
nariz,botella,860
granate,nota,859
año,acidez,859
rubí,intensidad,858
elaborado,fina,858
alta,cuero,858
mineral,largo,858
rubí,final,858
nariz,café,856
aroma,madera,856
elaborado,tempranillo,855
rojo,chocolate,854
tanino,goloso,854
coupage,picota,854
picota,violáceo,853
boca,pimienta,853
chocolate,boca,852
aterciopelada,rojo,851
suave,aroma,850
cuero,negro,850
violáceo,crianza,849
roble,bodega,848
tempranillo,madera,848
nota,cuero,848
tanino,café,847
lágrima,cuero,846
goloso,boca,846
rubí,aroma,846
intenso,botella,846
capa,café,845
cuerpo,nariz,845
rojo,ahumado,845
botella,rcp,843
aterciopelada,color,843
pulido,alta,843
recomendable,alta,843
barrica,paladar,842
pulido,madura,842
roble,regaliz,841
monovarietal,persistencia,840
salud,capa,840
cereza,intensidad,840
seco,crianza,839
untuoso,rojo,839
bodega,negro,839
goloso,color,839
cuero,madura,839
ciruela,madura,837
chocolate,color,835
suave,cereza,835
cacao,ribete,834
rojo,goloso,833
granate,largo,833
persistencia,balsámico,833
persistente,madura,832
capa,monovarietal,832
tanino,americano,831
mora,capa,831
capa,ahumado,830
aterciopelada,nariz,830
nariz,ahumado,829
nariz,garnacha,829
untuoso,nota,829
rojo,café,829
aterciopelada,fruta,829
rojo,ligero,828
sedoso,rcp,827
coupage,garnacha,824
tempranillo,toque,824
francés,bodega,824
francés,brillante,824
floral,boca,823
paladar,final,823
alta,fresco,823
recomendable,persistencia,822
color,fondo,822
intenso,brillante,822
limpio,paladar,821
mineral,lágrima,821
paladar,madura,820
cereza,fresco,819
coupage,tempranillo,819
sedoso,roble,818
salud,rcp,815
rojo,pimienta,814
capa,bodega,813
dulce,final,812
merlot,fruta,811
coupage,boca,810
capa,marcada,809
tanino,monovarietal,809
vainilla,intensidad,809
roble,paladar,809
salud,lágrima,809
negro,densa,808
año,boca,808
cacao,rcp,808
tostado,botella,808
suave,tempranillo,807
final,regaliz,807
redondo,fruta,806
aterciopelada,ribete,806
ciruela,boca,806
roble,fresco,805
sedoso,largo,804
tabaco,fruta,804
tanino,ahumado,803
chocolate,nariz,803
frambuesa,color,803
untuoso,boca,803
coupage,negro,802
floral,acidez,802
nueva,rojo,802
suave,roble,802
acidez,americano,801
coupage,alta,800
acidez,integrada,800
roble,madera,799
pulido,nariz,799
pulido,tostado,799
violáceo,madura,799
rojo,joven,799
persistencia,ribete,797
cuerpo,capa,797
rojo,frutal,796
picota,elaborado,796
floral,color,796
goloso,capa,796
pulido,picota,795
acidez,café,794
tempranillo,garnacha,794
especia,cacao,792
cereza,dulce,792
mineral,crianza,792
suave,final,791
paladar,uva,791
salud,nariz,791
violáceo,negro,790
nota,violáceo,790
elegante,alta,790
salud,final,790
barrica,violáceo,789
salud,color,789
año,capa,788
acidez,bodega,788
nariz,americano,788
americano,alta,787
correcto,color,787
persistente,ribete,786
especia,cuero,785
mineral,especia,785
sabroso,capa,785
acidez,violáceo,785
intenso,toque,783
fresco,garnacha,782
fresco,negro,782
cuero,rcp,781
rojo,potente,781
barrica,dulce,781
aroma,seco,781
tanino,integrada,780
cereza,regaliz,780
madura,ahumado,780
acidez,excelente,780
untuoso,lágrima,779
granate,cereza,779
brillante,balsámico,779
aterciopelada,capa,779
bodega,madura,778
arándano,negro,777
mineral,balsámico,776
aterciopelada,nota,776
picota,cuero,776
picota,garnacha,775
café,madura,775
persistente,final,775
agradable,rcp,774
monovarietal,rcp,774
ciruela,capa,773
paladar,elaborado,772
persistente,capa,770
sabroso,nariz,769
mineral,tostado,768
picota,recomendable,768
cariñena,garnacha,768
mineral,roble,768
